player,team,position,games_played,rush_attempts_pg,rushing_yards_pg,rushing_tds,targets_pg,receptions_pg,receiving_yards_pg,carries_share,snap_share,red_zone_carries,goal_line_touches,fantasy_points_pg
M.Brosmer,MIN,,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,-0.1
M.Carter,ARI,,13,7.077,25.615,1.0,3.462,2.538,20.538,25.07,0.0,8.0,3.0,7.615
M.Corley,CLE,,12,1.083,10.583,0.0,1.167,0.917,6.583,3.07,0.0,2.0,1.0,2.633
M.Cunningham,DET,,1,1.0,1.0,0.0,0.0,0.0,0.0,0.23,0.0,,,0.1
M.Davis,DAL,,9,5.778,27.778,2.0,0.556,0.222,1.778,11.18,0.0,8.0,2.0,4.511
M.Evans,CAR,,13,0.077,0.077,0.0,1.923,1.462,13.154,0.22,0.0,0.0,3.0,3.708
M.Gaskin,SEA,,1,3.0,6.0,0.0,0.0,0.0,0.0,0.59,0.0,,,0.6
M.Golden,GB,,14,0.714,3.5,0.0,3.143,2.071,25.786,2.03,0.0,2.0,0.0,5.0
M.Hollins,NE,,14,0.071,0.286,0.0,4.643,3.286,39.286,0.2,0.0,0.0,2.0,8.1
M.Jones,SF,,3,2.667,-1.333,0.0,0.0,0.0,0.0,1.66,0.0,3.0,1.0,-0.133
M.Mims,DEN,,15,0.8,5.2,1.0,3.4,2.467,21.467,2.63,0.0,2.0,0.0,5.933
M.Rudolph,PIT,,1,3.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,1.0,0.0,0.0
M.Sanders,DAL,,4,5.0,29.25,1.0,2.0,2.0,7.5,4.3,0.0,6.0,1.0,7.175
M.Tipton,NO,,6,0.667,3.0,0.0,2.833,1.833,12.667,0.92,0.0,0.0,0.0,3.4
M.Trubisky,BUF,,1,1.0,4.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.4
M.Washington,MIA,,17,1.0,6.471,1.0,3.824,2.706,18.647,3.94,0.0,3.0,3.0,6.629
N.Carter,ATL,,2,4.5,30.0,0.0,0.0,0.0,0.0,1.88,0.0,,,3.0
N.Chubb,HOU,,15,8.133,33.733,3.0,1.333,0.867,4.467,25.63,0.0,13.0,6.0,5.887
N.Collins,HOU,,15,0.133,1.0,1.0,8.067,4.733,74.467,0.42,0.0,1.0,8.0,15.08
N.Harris,LAC,,3,5.0,20.333,0.0,1.0,1.0,8.333,3.21,0.0,1.0,0.0,3.867
N.Miller-Hines,LAC,,1,2.0,-2.0,0.0,0.0,0.0,0.0,0.43,0.0,,,-0.2
N.Mullens,JAX,,2,3.0,-2.5,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,-0.25
N.Remigio,KC,,2,0.5,5.5,0.0,0.5,0.5,10.5,0.23,0.0,,,2.1
O.Gordon,MIA,,16,4.375,12.438,3.0,0.562,0.438,2.0,16.2,0.0,19.0,6.0,3.381
O.Hampton,LAC,,9,13.778,60.556,4.0,3.889,3.556,21.333,26.55,0.0,26.0,9.0,15.078
O.Wright,TB,,1,3.0,6.0,0.0,0.0,0.0,0.0,0.63,0.0,,,0.6
O.Zaccheaus,CHI,,14,0.286,1.786,0.0,4.714,2.786,22.357,0.79,0.0,0.0,2.0,6.057
P.Mafah,DAL,,1,5.0,18.0,1.0,2.0,2.0,11.0,1.08,0.0,1.0,1.0,10.9
P.Nacua,LA,,16,0.625,6.562,1.0,10.375,8.062,107.188,2.15,0.0,1.0,4.0,23.562
P.Ricard,BAL,,3,0.333,1.0,0.0,0.667,0.333,2.667,0.2,0.0,,,0.7
P.Washington,JAX,,15,0.467,0.0,0.0,6.467,3.867,56.467,1.43,0.0,1.0,4.0,11.513
Q.Johnston,LAC,,13,0.154,0.538,0.0,6.462,3.923,56.538,0.43,0.0,0.0,2.0,13.323
Q.Judkins,CLE,,13,16.692,61.615,7.0,2.538,1.923,8.692,51.3,0.0,33.0,12.0,12.185
R.Ali,BAL,,8,0.875,3.0,0.0,1.375,1.125,8.5,1.38,0.0,2.0,0.0,3.025
R.Davis,BUF,,13,4.462,21.154,0.0,1.077,0.769,6.615,10.6,0.0,7.0,5.0,4.469
R.Dowdle,CAR,,17,13.941,63.294,6.0,2.941,2.294,17.471,51.19,0.0,35.0,9.0,12.841
R.Flournoy,DAL,,13,0.308,1.923,0.0,4.308,3.077,36.538,0.86,0.0,0.0,4.0,8.769
R.Gilliam,BUF,,3,0.667,1.333,0.0,1.0,0.667,8.0,0.37,0.0,1.0,2.0,1.6
R.Harvey,DEN,,16,8.5,31.875,7.0,3.438,2.75,21.0,29.76,0.0,29.0,13.0,12.538
R.Johnson,CHI,,2,1.0,8.5,0.0,0.0,0.0,0.0,0.39,0.0,,,0.85
R.Mostert,LV,,12,1.833,8.667,0.0,1.0,1.0,5.833,5.95,0.0,4.0,0.0,2.45
R.Pearsall,SF,,9,0.222,-0.222,0.0,5.889,4.0,58.667,0.42,0.0,0.0,0.0,9.844
R.Rice,KC,,8,0.625,2.5,1.0,9.875,6.625,71.375,1.16,0.0,3.0,10.0,18.512
R.Rivers,LA,,2,4.5,23.0,0.0,0.0,0.0,0.0,1.94,0.0,,,2.3
