player,team,position,games_played,rush_attempts_pg,rushing_yards_pg,rushing_tds,targets_pg,receptions_pg,receiving_yards_pg,carries_share,snap_share,red_zone_carries,goal_line_touches,fantasy_points_pg
T.Bridgewater,TB,,2,1.0,-1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,-0.1
T.Brooks,CIN,,6,2.667,7.5,0.0,0.333,0.167,1.5,4.19,0.0,,,1.067
T.Chandler,MIN,,2,8.5,23.5,0.0,2.0,1.5,5.5,4.15,0.0,1.0,1.0,4.4
T.Conklin,LAC,,6,0.167,0.333,0.0,1.667,1.167,16.833,0.21,0.0,,,2.883
T.Etienne,CAR,,8,2.5,11.75,0.0,0.375,0.375,1.625,4.32,0.0,4.0,1.0,1.712
T.Etienne,JAX,,17,15.294,65.118,7.0,3.059,2.118,17.176,52.95,0.0,54.0,13.0,14.935
T.Ferguson,LA,,11,0.091,0.0,0.0,2.273,1.0,21.0,0.22,0.0,1.0,1.0,4.736
T.Franklin,DEN,,17,0.294,0.706,0.0,6.294,3.824,41.706,1.09,0.0,0.0,7.0,10.182
T.Goodson,IND,,7,1.286,3.429,0.0,0.429,0.286,1.143,2.03,0.0,0.0,1.0,0.743
T.Harris,LAC,,16,0.125,0.625,0.0,2.688,1.875,20.25,0.43,0.0,1.0,0.0,4.338
T.Henderson,NE,,17,10.588,53.588,9.0,2.471,2.059,13.0,36.29,0.0,36.0,9.0,12.247
T.Hill,NO,,8,1.625,0.75,1.0,1.125,0.875,6.875,2.97,0.0,13.0,3.0,2.388
T.Hockenson,MIN,,15,0.067,0.0,0.0,4.4,3.4,29.2,0.24,0.0,1.0,2.0,7.52
T.Homer,CHI,,1,1.0,-2.0,0.0,0.0,0.0,0.0,0.2,0.0,,,-0.2
T.Hunter,JAX,,7,0.143,0.0,0.0,6.429,4.0,42.571,0.2,0.0,1.0,0.0,9.114
T.Huntley,BAL,,1,3.0,-3.0,0.0,0.0,0.0,0.0,0.59,0.0,7.0,0.0,-0.3
T.Jennings,NE,,5,4.6,14.6,1.0,0.2,0.2,1.8,4.64,0.0,4.0,2.0,3.04
T.Johnson,TB,,15,0.467,1.467,0.0,2.933,1.867,21.467,1.48,0.0,2.0,0.0,6.16
T.Kelce,KC,,17,0.059,0.059,0.0,6.412,4.471,50.059,0.23,0.0,1.0,5.0,11.247
T.Kraft,GB,,8,0.125,0.375,0.0,5.5,4.0,61.125,0.2,0.0,0.0,0.0,14.65
T.McKee,PHI,,2,2.5,-2.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,-0.2
T.Pollard,TEN,,17,14.235,63.647,5.0,2.412,1.941,12.118,64.02,0.0,19.0,4.0,11.282
T.Spears,TEN,,13,5.538,21.769,2.0,3.846,3.462,20.308,19.05,0.0,10.0,2.0,8.592
T.Tracy,NYG,,15,11.733,49.333,2.0,3.2,2.4,19.2,34.38,0.0,21.0,2.0,10.853
T.Tucker,LV,,17,0.647,3.0,0.0,5.412,3.353,40.941,2.97,0.0,1.0,1.0,9.512
T.Warren,IND,,16,0.375,0.5,1.0,6.812,4.5,48.312,1.35,0.0,4.0,9.0,10.881
T.Williams,CLE,,4,1.75,9.25,0.0,2.0,1.75,13.75,1.65,0.0,0.0,0.0,4.05
T.Williams,LAC,,1,3.0,-1.0,0.0,1.0,1.0,0.0,0.64,0.0,,,0.9
Ty.Johnson,BUF,,17,2.941,11.765,3.0,1.941,1.412,13.588,9.14,0.0,19.0,6.0,5.712
U.Bentley,IND,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,,,0.0
V.Jones,SEA,,1,4.0,32.0,0.0,0.0,0.0,0.0,0.79,0.0,,,3.2
W.Marks,HOU,,16,12.25,43.938,2.0,2.25,1.5,13.0,41.18,0.0,33.0,11.0,9.069
W.Robinson,NYG,,16,0.188,0.312,0.0,8.812,5.75,63.375,0.59,0.0,0.0,6.0,13.619
W.Shipley,PHI,,11,1.273,4.455,0.0,1.091,0.818,5.091,2.92,0.0,0.0,0.0,1.773
X.Hutchinson,HOU,,16,0.188,1.375,0.0,3.562,2.188,26.75,0.63,0.0,1.0,3.0,6.125
X.Legette,CAR,,15,0.067,0.0,0.0,4.267,2.333,24.2,0.22,0.0,0.0,2.0,5.953
X.Worthy,KC,,14,0.786,6.214,0.0,5.214,3.0,38.0,2.56,0.0,0.0,1.0,7.85
Z.Charbonnet,SEA,,16,11.562,45.625,12.0,1.5,1.25,9.0,36.42,0.0,52.0,20.0,11.212
Z.Flowers,BAL,,17,0.588,3.647,1.0,7.0,5.059,71.235,1.97,0.0,1.0,2.0,14.665
Z.Knight,ARI,,10,8.3,26.9,4.0,3.1,2.2,16.0,22.62,0.0,17.0,9.0,9.49
Z.Scott,MIN,,9,3.556,12.667,0.0,1.778,1.556,10.889,7.8,0.0,3.0,1.0,4.578
Z.White,LV,,5,2.4,6.4,0.0,1.2,0.8,4.8,3.24,0.0,,,1.92
Z.Wilson,MIA,,1,2.0,-2.0,0.0,0.0,0.0,0.0,0.46,0.0,,,-0.2
