player,team,position,snap_share,route_participation,target_share,air_yards_share,red_zone_touch_share,red_zone_carries,red_zone_targets,goal_line_touches,targets_pg,receptions_pg,rush_attempts_pg,carries_share,pass_attempts_pg,passing_yards_pg,rushing_yards_pg,receiving_yards_pg,fantasy_points_pg
B.Raimann,IND,,0.0,0.0,0.19,0.05,0.37,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.Robinson,ATL,,0.0,0.0,19.73,2.41,23.9,36.0,13.0,12.0,6.059,4.647,16.941,60.25,0.0,0.0,86.941,48.235,22.047
B.Robinson,SF,,0.0,0.0,2.17,0.0,6.12,13.0,4.0,3.0,0.75,0.5,5.75,19.13,0.0,0.0,25.0,1.562,3.906
B.Russell,SEA,,0.0,0.0,0.22,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.Rypien,CIN,QB,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B.Sims,MIN,,0.0,0.0,1.27,1.96,0.47,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0
B.Sinnott,WAS,,0.0,0.0,2.98,2.83,0.46,0.0,1.0,1.0,1.625,1.375,0.0,0.0,0.0,0.0,0.0,14.25,3.55
B.Skowronek,PIT,,0.0,0.0,1.15,1.93,0.43,0.0,1.0,0.0,1.0,0.667,0.0,0.0,0.0,0.0,0.0,11.5,2.817
B.Smith,KC,,0.0,0.0,6.34,-1.3,6.72,10.0,7.0,3.0,2.333,1.667,2.933,10.23,0.0,0.0,10.067,11.467,4.22
B.Spann-Ford,DAL,,0.0,0.0,2.13,2.17,0.69,0.0,2.0,1.0,1.3,0.9,0.0,0.0,0.0,0.0,0.0,9.0,2.4
B.Strange,JAX,,0.0,0.0,10.93,8.49,3.46,0.0,10.0,1.0,5.0,3.833,0.0,0.0,0.0,0.0,0.0,45.0,9.833
B.Thomas,JAX,,0.0,0.0,16.58,26.95,2.77,1.0,7.0,1.0,6.5,3.429,0.214,0.61,0.0,0.0,1.5,50.5,9.914
B.Tremayne,CAR,,0.0,0.0,3.73,4.82,0.48,0.0,1.0,0.0,2.25,1.75,0.0,0.0,0.0,0.0,0.0,20.0,3.75
B.Tuten,JAX,,0.0,0.0,2.55,0.16,9.69,26.0,2.0,8.0,0.933,0.667,5.6,17.11,0.0,0.0,20.467,5.267,6.04
B.Whiteheart,CLE,,0.0,0.0,1.15,1.2,0.0,,,,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.667,0.4
B.Willis,SF,,0.0,0.0,0.18,0.05,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B.Wright,DET,,0.0,0.0,4.0,0.6,0.72,0.0,2.0,1.0,3.143,2.0,0.0,0.0,0.0,0.0,0.0,15.429,5.257
B.Young,CAR,QB,0.0,0.0,0.0,0.0,5.31,11.0,0.0,2.0,0.0,0.0,3.375,11.66,31.75,188.188,13.5,0.0,14.69
B.Yurosek,MIN,,0.0,0.0,0.64,0.3,0.0,,,,1.5,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.7
C.Akers,MIN,QB,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,32.0,0.0,0.0,5.28
C.Akers,MIN,,0.0,0.0,0.21,-0.16,0.0,,,,1.0,0.0,5.0,1.22,0.0,0.0,19.0,0.0,1.9
C.Austin,PIT,,0.0,0.0,10.5,19.11,1.72,0.0,4.0,0.0,3.929,2.214,0.0,0.0,0.0,0.0,0.0,26.571,6.157
C.Bojorquez,CLE,QB,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C.Brooks,GB,,0.0,0.0,3.68,0.15,2.46,3.0,3.0,0.0,1.214,0.929,1.929,5.49,0.0,0.0,7.571,6.5,2.336
C.Brown,CIN,,0.0,0.0,14.57,1.01,22.37,37.0,12.0,17.0,5.235,4.059,13.706,60.99,0.0,0.0,59.941,24.353,16.371
C.Colby,SF,,0.0,0.0,0.18,-0.15,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9
C.Dike,TEN,,0.0,0.0,13.96,15.27,10.53,2.0,14.0,5.0,4.353,2.824,0.647,2.91,0.0,0.0,1.059,24.882,6.829
C.Edwards-Helaire,KC,,0.0,0.0,0.36,-0.09,0.0,,,,1.0,1.0,3.5,1.63,0.0,0.0,6.5,4.5,2.1
C.Ford,CIN,,0.0,0.0,0.16,0.09,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,3.1
C.Godwin,TB,,0.0,0.0,9.54,8.32,3.67,0.0,8.0,3.0,5.778,3.667,0.0,0.0,0.0,0.0,0.0,40.0,9.0
C.Grandy,CIN,,0.0,0.0,0.33,-0.13,0.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,1.35
C.Ham,MIN,,0.0,0.0,0.42,0.05,0.95,2.0,0.0,2.0,0.5,0.5,0.75,0.73,0.0,0.0,1.25,2.75,3.9
C.Hubbard,CAR,,0.0,0.0,8.09,-1.23,12.08,19.0,6.0,5.0,2.6,2.0,9.0,29.16,0.0,0.0,34.067,14.867,8.493
C.Jones,CIN,,0.0,0.0,0.16,0.92,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Kiner,ARI,,0.0,0.0,0.48,0.25,1.28,2.0,1.0,0.0,0.75,0.5,3.0,3.27,0.0,0.0,14.5,3.75,2.325
C.Kirk,HOU,,0.0,0.0,9.52,7.94,2.88,0.0,7.0,3.0,4.818,2.545,0.0,0.0,0.0,0.0,0.0,21.727,5.264
C.Kmet,CHI,QB,0.0,0.0,0.37,0.6,2.8,0.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0
C.Kmet,CHI,,0.0,0.0,8.77,8.69,2.8,0.0,7.0,1.0,3.133,1.933,0.0,0.0,0.0,0.0,0.0,22.467,4.98
C.Kolar,BAL,,0.0,0.0,3.67,3.14,1.16,0.0,3.0,1.0,1.364,0.909,0.0,0.0,0.0,0.0,0.0,12.909,3.291
