team,player,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches,red_zone_touch_share
ARI,E.Higgins,0,5,0,1,2.14
ARI,J.Deguara,0,1,0,0,0.43
ARI,M.Harrison,0,11,0,4,4.7
ARI,M.Wilson,0,11,0,1,4.7
ARI,Mi.Wilson,0,6,0,0,2.56
ARI,P.Brown,0,1,0,1,0.43
ARI,T.McBride,0,34,0,6,14.53
ARI,T.Sherfield,0,1,0,0,0.43
ARI,X.Weaver,0,3,0,0,1.28
ARI,Z.Jones,0,2,0,1,0.85
ATL,C.Woerner,0,1,0,0,0.49
ATL,D.Drummond,0,4,0,2,1.95
ATL,D.London,0,16,0,6,7.8
ATL,D.Mooney,0,8,0,1,3.9
ATL,D.Sills,0,6,0,0,2.93
ATL,J.Matthews,0,1,0,1,0.49
ATL,K.Pitts,0,13,0,2,6.34
ATL,R.McCloud,0,1,0,0,0.49
BAL,C.Kolar,0,3,0,1,1.16
BAL,D.Hopkins,0,3,0,1,1.16
BAL,D.Walker,0,1,0,1,0.39
BAL,I.Likely,0,6,0,2,2.33
BAL,R.Bateman,0,9,0,2,3.49
BAL,T.Wallace,0,2,0,0,0.78
BAL,Z.Mitchell-Paden,0,1,0,1,0.39
BUF,C.Samuel,0,1,0,0,0.36
BUF,D.Kincaid,0,9,0,2,3.23
BUF,D.Knox,0,13,0,6,4.66
BUF,G.Davis,0,6,0,2,2.15
BUF,J.Hawes,0,3,0,2,1.08
BUF,J.Palmer,0,6,0,1,2.15
BUF,K.Coleman,0,12,0,6,4.3
BUF,K.Shakir,0,15,0,3,5.38
CAR,B.Tremayne,0,1,0,0,0.48
CAR,H.Renfrow,0,6,0,2,2.9
CAR,J.Coker,0,5,0,2,2.42
CAR,J.Sanders,0,10,0,0,4.83
CAR,Ji.Horn,0,3,0,0,1.45
CAR,M.Evans,0,4,0,3,1.93
CAR,T.McMillan,0,15,0,3,7.25
CAR,T.Tremble,0,5,0,0,2.42
CAR,X.Legette,0,12,0,2,5.8
CHI,C.Kmet,0,7,0,1,2.8
CHI,D.Duvernay,0,1,0,1,0.4
CHI,J.Walker,0,2,0,1,0.8
CHI,L.Burden,0,4,0,0,1.6
CHI,O.Zaccheaus,0,13,0,2,5.2
CHI,R.Odunze,0,13,0,5,5.2
CIN,A.Iosivas,0,7,0,3,3.2
CIN,D.Sample,0,1,0,1,0.46
CIN,J.Chase,0,22,0,2,10.05
CIN,M.Gesicki,0,8,0,4,3.65
CIN,M.Tinsley,0,5,0,0,2.28
CIN,N.Fant,0,4,0,3,1.83
CIN,T.Higgins,0,16,0,5,7.31
CIN,T.Hudson,0,6,0,1,2.74
CLE,B.Bates,0,1,0,1,0.56
CLE,C.Tillman,0,4,0,1,2.26
CLE,D.Njoku,0,9,0,1,5.08
CLE,G.Larvadain,0,1,0,1,0.56
CLE,I.Bond,0,4,0,1,2.26
CLE,J.Jeudy,0,9,0,0,5.08
CLE,J.Thrash,0,1,0,0,0.56
CLE,L.Wypler,0,1,0,1,0.56
CLE,T.Williams,0,2,0,0,1.13
DAL,B.Spann-Ford,0,2,0,1,0.69
DAL,C.Lamb,0,17,0,4,5.84
DAL,G.Pickens,0,24,0,7,8.25
DAL,J.Ferguson,0,25,0,9,8.59
DAL,J.Tolbert,0,5,0,2,1.72
DAL,K.Turpin,0,5,0,0,1.72
DAL,L.Schoonmaker,0,2,0,0,0.69
DAL,R.Flournoy,0,7,0,4,2.41
DEN,A.Trautman,0,1,0,1,0.4
DEN,C.Sutton,0,20,0,6,8.06
DEN,E.Engram,0,11,0,1,4.44
DEN,G.Bolles,0,1,0,1,0.4
DEN,L.Humphrey,0,2,0,1,0.81
DEN,M.Bandy,0,1,0,0,0.4
DEN,N.Adkins,0,2,0,0,0.81
DEN,P.Bryant,0,8,0,1,3.23
DEN,T.Franklin,0,21,0,7,8.47
DEN,T.Sherfield,0,1,0,0,0.4
DET,A.Firkser,0,3,0,0,1.08
DET,B.Wright,0,2,0,1,0.72
DET,G.Ricci,0,1,0,1,0.36
DET,I.TeSlaa,0,11,0,2,3.96
DET,K.Raymond,0,2,0,0,0.72
DET,R.Dwelley,0,3,0,2,1.08
DET,S.LaPorta,0,6,0,1,2.16
DET,S.Zylstra,0,1,0,1,0.36
GB,D.Dabney,0,1,0,0,0.41
GB,D.Wicks,0,4,0,1,1.64
GB,J.FitzPatrick,0,4,0,1,1.64
GB,J.Reed,0,4,0,0,1.64
GB,J.Whyle,0,1,0,1,0.41
GB,L.Musgrave,0,1,0,0,0.41
GB,R.Doubs,0,18,0,6,7.38
GB,T.Kraft,0,12,0,0,4.92
HOU,B.Berrios,0,2,0,0,0.82
HOU,C.Kirk,0,7,0,3,2.88
HOU,D.Schultz,0,12,0,5,4.94
HOU,J.Higgins,0,9,0,2,3.7
HOU,J.Watson,0,2,0,0,0.82
IND,A.Ogletree,0,2,0,1,0.74
IND,A.Pierce,0,9,0,1,3.35
IND,B.Raimann,0,1,0,1,0.37
IND,J.Downs,0,15,0,2,5.58
IND,M.Alie-Cox,0,6,0,1,2.23
IND,M.Pittman,0,18,0,6,6.69
IND,T.Goodson,0,1,0,1,0.37
JAX,A.Trammell,0,1,0,0,0.35
JAX,B.Strange,0,10,0,1,3.46
JAX,H.Long,0,4,0,1,1.38
JAX,J.Mundt,0,1,0,0,0.35
JAX,Q.Morris,0,2,0,1,0.69
JAX,T.Patrick,0,9,0,1,3.11
KC,J.Brownlee,0,1,0,0,0.4
KC,J.Smith-Schuster,0,9,0,2,3.56
KC,M.Brown,0,10,0,1,3.95
KC,N.Gray,0,3,0,2,1.19
KC,T.Thornton,0,4,0,2,1.58
KC,X.Worthy,0,6,0,1,2.37
LA,C.Parkinson,0,22,0,2,7.31
LA,D.Adams,0,32,0,16,10.63
LA,D.Allen,0,7,0,3,2.33
LA,K.Mumpfield,0,4,0,1,1.33
LA,T.Atwell,0,1,0,0,0.33
LA,T.Higbee,0,8,0,1,2.66
LA,X.Smith,0,3,0,0,1.0
LAC,K.Allen,0,16,0,3,6.61
LAC,K.Lambert-Smith,0,2,0,0,0.83
LAC,L.McConkey,0,15,0,4,6.2
LAC,O.Gadsden,0,15,0,1,6.2
LAC,Q.Johnston,0,15,0,2,6.2
LAC,S.Matlock,0,1,0,1,0.41
LAC,T.Penning,0,1,0,1,0.41
LAC,W.Dissly,0,1,0,0,0.41
LV,A.Cappa,0,1,0,1,0.62
LV,A.Okwuegbunam,0,1,0,0,0.62
LV,B.Bowers,0,18,0,3,11.11
LV,D.Thornton,0,2,0,0,1.23
LV,J.Bech,0,4,0,0,2.47
LV,J.Meyers,0,6,0,0,3.7
LV,M.Mayer,0,6,0,1,3.7
LV,T.Lockett,0,3,0,2,1.85
MIA,C.Wilson,0,3,0,0,1.49
MIA,D.Waller,0,8,0,3,3.98
MIA,J.Hill,0,4,0,1,1.99
MIA,J.Waddle,0,11,0,4,5.47
MIA,N.Westbrook-Ikhine,0,2,0,0,1.0
MIA,Q.Ewers,0,1,11,1,0.5
MIA,T.Conner,0,3,0,0,1.49
MIA,T.Hill,0,2,0,1,1.0
MIA,T.Washington,0,1,0,0,0.5
MIA,T.Wease,0,1,0,0,0.5
MIN,A.Thielen,0,2,0,1,0.95
MIN,B.Sims,0,1,0,0,0.47
MIN,J.Addison,0,13,0,3,6.16
MIN,J.Jefferson,0,19,0,6,9.0
MIN,J.Nailor,0,13,0,5,6.16
MIN,J.Oliver,0,7,0,1,3.32
NE,A.Hooper,0,5,0,3,1.91
NE,E.Chism,0,1,0,0,0.38
NE,H.Henry,0,22,0,6,8.4
NE,K.Boutte,0,4,0,2,1.53
NE,M.Hollins,0,5,0,2,1.91
NE,S.Diggs,0,12,0,4,4.58
NO,B.Cooks,0,1,0,0,0.53
NO,C.Olave,0,15,1,2,7.94
NO,D.Vele,0,5,0,3,2.65
NO,F.Moreau,0,1,0,0,0.53
NO,J.Johnson,0,8,0,0,4.23
NO,J.Stoll,0,1,0,0,0.53
NO,K.Austin,0,2,0,0,1.06
NO,M.Tipton,0,2,0,0,1.06
NO,R.Bell,0,2,0,0,1.06
NO,S.Toure,0,1,0,0,0.53
NYG,B.Collins,0,1,0,0,0.38
NYG,C.Manhertz,0,1,0,0,0.38
NYG,D.Bellinger,0,6,0,0,2.3
