player,team,position,games_played,targets_pg,receptions_pg,receiving_yards_pg,receiving_tds,target_share,air_yards_share,air_yards_pg,snap_share,route_participation,red_zone_targets,goal_line_touches,fantasy_points_pg
J.Bobo,SEA,,2,1.0,1.0,10.0,0.0,0.44,0.38,7.0,0.0,0.0,,,2.0
J.Brooks,ARI,,2,3.0,1.5,25.5,0.0,0.97,1.53,34.0,0.0,0.0,,,4.05
J.Brownlee,KC,,1,1.0,0.0,0.0,0.0,0.18,0.21,9.0,0.0,0.0,1.0,0.0,0.0
J.Chase,CIN,,16,11.562,7.812,88.25,8.0,30.28,34.39,98.125,0.0,0.0,22.0,2.0,19.725
J.Chestnut,TEN,,7,0.286,0.0,0.0,0.0,0.38,0.56,3.143,0.0,0.0,0.0,2.0,0.571
J.Coker,CAR,,11,4.091,3.0,35.818,3.0,9.34,13.35,39.545,0.0,0.0,5.0,2.0,8.218
J.Conner,ARI,,3,3.0,2.667,12.667,1.0,1.45,-0.2,-3.0,0.0,0.0,1.0,4.0,11.1
J.Cook,BUF,,17,2.353,1.941,17.118,2.0,8.2,1.6,3.294,0.0,0.0,3.0,17.0,18.129
J.Croskey-Merritt,WAS,,17,0.765,0.529,4.0,0.0,2.98,-0.51,-1.118,0.0,0.0,1.0,13.0,8.488
J.Deguara,ARI,,4,1.25,0.75,5.25,1.0,0.81,0.52,5.75,0.0,0.0,1.0,0.0,2.775
J.Dobbins,DEN,,10,1.4,1.1,3.7,0.0,2.38,-0.68,-3.0,0.0,0.0,0.0,7.0,11.59
J.Dotson,PHI,,14,2.571,1.286,18.714,1.0,7.73,13.18,39.643,0.0,0.0,5.0,0.0,3.586
J.Downs,IND,,16,5.5,3.625,34.938,4.0,16.42,15.42,41.188,0.0,0.0,15.0,2.0,8.606
J.Ferguson,DAL,,17,6.059,4.824,35.294,8.0,16.89,9.64,27.941,0.0,0.0,25.0,9.0,11.182
J.Fields,NYJ,QB,9,0.111,0.0,0.0,0.0,0.21,0.19,0.667,0.0,0.0,1.0,5.0,15.518
J.FitzPatrick,GB,,10,1.5,1.2,7.2,1.0,3.25,0.59,2.4,0.0,0.0,4.0,1.0,2.52
J.Ford,CLE,,13,2.462,2.0,7.923,0.0,6.11,-1.36,-3.769,0.0,0.0,6.0,3.0,3.354
J.Gibbs,DET,,17,5.529,4.529,36.059,5.0,17.09,1.47,3.176,0.0,0.0,15.0,12.0,21.682
