player,team,position,attempts,completions,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,air_yards,fantasy_points,fantasy_points_ppr,offense_snaps,defense_snaps,st_snaps,games_played,pass_attempts_pg,completions_pg,passing_yards_pg,passing_tds_pg,interceptions_pg,rush_attempts_pg,rushing_yards_pg,targets_pg,receptions_pg,receiving_yards_pg,air_yards_pg,fantasy_points_pg,fantasy_points_std_pg,target_share,air_yards_share,carries_share,snap_share,route_participation,red_zone_touch_share,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches
T.Thornton,KC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,19.0,438.0,3.0,995.0,61.8,80.8,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.364,1.727,39.818,90.455,7.345,5.618,6.7,23.15,0.0,0.0,0.0,1.58,0.0,4.0,0.0,2.0
T.Tracy,NYG,,0.0,0.0,0.0,0.0,0.0,0.0,176.0,740.0,2.0,48.0,36.0,288.0,2.0,19.0,126.8,162.8,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,11.733,49.333,3.2,2.4,19.2,1.267,10.853,8.453,9.49,0.44,34.38,0.0,0.0,9.96,21.0,5.0,0.0,2.0
T.Tremble,CAR,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,27.0,249.0,2.0,163.0,36.9,63.900000000000006,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.467,1.8,16.6,10.867,4.26,2.46,7.68,5.0,0.0,0.0,0.0,2.42,0.0,5.0,0.0,0.0
T.Tucker,LV,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,0.0,92.0,57.0,696.0,5.0,935.0,104.69999999999999,161.7,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,0.647,3.0,5.412,3.353,40.941,55.0,9.512,6.159,18.55,29.23,2.97,0.0,0.0,6.79,1.0,10.0,0.0,1.0
T.Wallace,BAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,45.0,1.0,107.0,10.5,14.5,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.333,0.667,7.5,17.833,2.417,1.75,1.96,3.17,0.0,0.0,0.0,0.78,0.0,2.0,0.0,0.0
T.Warren,IND,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,44.0,1.0,33.0,10.4,14.4,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,44.0,33.0,14.4,10.4,0.93,0.77,0.0,0.0,0.0,10.04,4.0,23.0,1.0,9.0
T.Warren,IND,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,1.0,109.0,72.0,773.0,3.0,569.0,102.10000000000001,174.1,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.375,0.5,6.812,4.5,48.312,35.562,10.881,6.381,20.34,13.31,1.35,0.0,0.0,10.04,4.0,23.0,1.0,9.0
T.Washington,MIA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,37.0,0.0,124.0,3.7,6.699999999999999,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.5,18.5,62.0,3.35,1.85,1.08,3.76,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
T.Wease,MIA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,139.0,1.0,137.0,19.9,25.9,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333,2.0,46.333,45.667,8.633,6.633,2.15,4.15,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
T.Williams,CLE,,0.0,0.0,0.0,0.0,0.0,0.0,7.0,37.0,0.0,8.0,7.0,55.0,0.0,-33.0,9.2,16.2,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1.75,9.25,2.0,1.75,13.75,-8.25,4.05,2.3,1.53,-0.92,1.65,0.0,0.0,1.13,0.0,2.0,0.0,0.0
T.Williams,LAC,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.1,0.9,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,1.0,1.0,0.0,-1.0,0.9,-0.1,0.18,-0.02,0.64,0.0,0.0,0.0,,,,
T.Wirfs,TB,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,6.2,7.2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7.2,6.2,0.18,0.02,0.0,0.0,0.0,0.46,0.0,1.0,0.0,1.0
Ty.Johnson,BUF,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,200.0,3.0,33.0,24.0,231.0,2.0,-39.0,73.1,97.1,0.0,0.0,0.0,17,0.0,0.0,0.0,0.0,0.0,2.941,11.765,1.941,1.412,13.588,-2.294,5.712,4.3,6.76,-1.12,9.14,0.0,0.0,8.24,19.0,4.0,0.0,6.0
